slug,title,cluster,type,primary_query,secondary_queries,intent,angle,must_include,internal_links,target_words,status
vps-dlya-ii-vybor,Какой VPS взять под личный ИИ-сервис,C10 Self-host и ИТ-практика,comparison,vps для ии,"сервер для нейросети аренда,какой vps выбрать,хостинг для ии приложения",коммерческий,"Отбирает конфигурацию от нагрузки конкретного приложения, а не от маркетинговых тарифов, и прямо говорит: GPU-сервер личному ассистенту обычно не нужен.",Таблица требований по сценариям + расчёт минимальной конфигурации,"kak-podnyat-svoy-ii-servis,domashniy-server-dlya-ii,docker-compose-persona-gayd,skolko-mesta-zanimaet-god-zapisi,samohosting-riski-chestno",1400,planned
domashniy-server-dlya-ii,Домашний сервер под ИИ: за и против,C10 Self-host и ИТ-практика,comparison,домашний сервер для нейросети,"мини пк для ии,сервер дома для llm,неттоп для нейросети",коммерческий,"Считает домашний сервер честно — вместе с электричеством, шумом, каналом связи и вашим временем на обслуживание, — и часто приходит к выводу не в его пользу.",Таблица сравнения с арендой на горизонте 3 лет + список неочевидных издержек,"vps-dlya-ii-vybor,energopotreblenie-llm-i-schet-za-svet,tunneli-cloudflare-devtunnel-tailscale,bu-videokarty-dlya-llm,kak-podnyat-svoy-ii-servis",1400,planned
docker-dlya-ii-prilozheniy,Docker для ИИ-приложений: что упрощает а что усложняет,C10 Self-host и ИТ-практика,explainer,docker для нейросети,"контейнер для ии приложения,docker или нативно,запуск ии в контейнере",информационный,"Называет два случая, где контейнер объективно мешает: доступ к экрану и доступ к видеокарте — то есть ровно то, ради чего многие и ставят локальный ИИ.",Таблица «что упрощает / что ломает» + правило выбора между контейнером и нативным запуском,"docker-compose-persona-gayd,ollama-v-docker,kak-podnyat-svoy-ii-servis,vps-dlya-ii-vybor,samohosting-riski-chestno",1300,planned
docker-compose-persona-gayd,Запуск Persona в контейнере: возможности и честные ограничения,C10 Self-host и ИТ-практика,guide,persona docker,"запустить persona в контейнере,docker compose ассистент,persona на сервере",транзакционный,"Единственный гайд, который сразу предупреждает: в контейнере не работает захват экрана, потому что там нет графической сессии, и контейнерный режим — это только веб и приём данных извне.",Файл docker-compose с комментариями + явный список неработающих в контейнере функций,"docker-dlya-ii-prilozheniy,vps-dlya-ii-vybor,ustanovka-persona-na-windows-poshagovo,perenos-instansa-na-drugoy-disk,monitoring-i-healthcheck",1500,planned
reverse-proxy-nginx-caddy,Обратный прокси перед ИИ-сервисом: nginx или Caddy,C10 Self-host и ИТ-практика,guide,reverse proxy nginx,"настроить обратный прокси,caddy или nginx,прокси для веб приложения",транзакционный,"Разбирает две конфигурации, которые ломают именно ИИ-приложения: буферизация потокового ответа и слишком короткий таймаут при долгой генерации.",Готовые конфигурации для обоих серверов + разбор параметров потоковой передачи,"https-i-sertifikaty-lets-encrypt,svoy-domen-i-dns-nastroyka,kak-podnyat-svoy-ii-servis,csp-i-bezopasnost-veb-prilozheniya,monitoring-i-healthcheck",1500,planned
https-i-sertifikaty-lets-encrypt,HTTPS для своего сервиса: сертификаты и автопродление,C10 Self-host и ИТ-практика,guide,бесплатный ssl сертификат,"lets encrypt настройка,https для своего сайта,автопродление сертификата",транзакционный,"Фокусируется на том, что ломается через три месяца, — автопродлении, — а не на первичной выдаче, которую и так делает любой инструмент.",Команды выдачи и проверки + настройка автопродления + процедура диагностики просроченного сертификата,"reverse-proxy-nginx-caddy,svoy-domen-i-dns-nastroyka,kak-podnyat-svoy-ii-servis,monitoring-i-healthcheck,csp-i-bezopasnost-veb-prilozheniya",1200,planned
svoy-domen-i-dns-nastroyka,Свой домен для личного сервиса: DNS без боли,C10 Self-host и ИТ-практика,guide,настройка dns для сайта,"привязать домен к серверу,a запись dns,свой домен для приложения",транзакционный,"Объясняет задержку распространения записей и три ошибки, из-за которых новичок считает, что домен не работает, хотя он работает.",Таблица типов записей с назначением + чек-лист проверки после изменения,"https-i-sertifikaty-lets-encrypt,reverse-proxy-nginx-caddy,tunneli-cloudflare-devtunnel-tailscale,kak-podnyat-svoy-ii-servis,vps-dlya-ii-vybor",1200,planned
tunneli-cloudflare-devtunnel-tailscale,Туннели вместо белого IP: что работает на практике,C10 Self-host и ИТ-практика,comparison,туннель к локальному серверу,"доступ к домашнему серверу извне,cloudflare tunnel,тайлскейл настройка",коммерческий,"Основана на реальном опыте перебора вариантов, включая тупики: показывает, какие туннели не подошли и почему, а не рекламирует один.","Таблица решений с ограничениями + разбор случаев, когда туннель не подходит","svoy-domen-i-dns-nastroyka,domashniy-server-dlya-ii,ollama-po-seti-nastroyka,samohosting-riski-chestno,kak-podnyat-svoy-ii-servis",1500,planned
systemd-i-avtozapusk,Автозапуск сервиса на Linux через systemd,C10 Self-host и ИТ-практика,guide,systemd автозапуск,"сервис linux автозапуск,unit файл systemd,перезапуск при падении",транзакционный,"Разбирает не запуск, а живучесть: перезапуск при падении, ограничение памяти и корректная остановка фоновых задач.",Готовый unit-файл с комментариями + команды диагностики,"windows-avtozapusk-servisa,monitoring-i-healthcheck,logi-strukturirovannye-structlog,kak-podnyat-svoy-ii-servis,docker-compose-persona-gayd",1100,planned
windows-avtozapusk-servisa,Автозапуск на Windows: задача расписания или служба,C10 Self-host и ИТ-практика,guide,автозапуск программы windows,"служба windows автозапуск,планировщик заданий windows,запуск приложения при старте",транзакционный,"Разбирает конкретную ловушку Windows: приложению, которому нужен доступ к экрану, служба не подходит, потому что у неё нет графической сессии.",Таблица «служба vs задача расписания» + пошаговая настройка задачи с нужными правами,"systemd-i-avtozapusk,ustanovka-persona-na-windows-poshagovo,docker-dlya-ii-prilozheniy,monitoring-i-healthcheck,skolko-vesit-i-tormozit",1200,planned
backup-i-vosstanovlenie-sqlite,Резервное копирование базы SQLite без порчи данных,C10 Self-host и ИТ-практика,guide,бэкап sqlite,"резервная копия базы данных,копирование sqlite на ходу,восстановить базу sqlite",транзакционный,"Объясняет, почему обычное копирование файла базы во время работы даёт битую копию, и даёт корректный способ.",Команды корректного резервного копирования + процедура проверки восстановления,"sqlite-wal-i-blokirovki,rezervnye-kopii-i-privatnost,migratsii-bazy-bezopasno,perenos-instansa-na-drugoy-disk,eksport-i-perenos-pamyati-ii",1200,planned
sqlite-wal-i-blokirovki,SQLite заблокирована: журнал WAL и конкурентный доступ,C10 Self-host и ИТ-практика,troubleshooting,database is locked sqlite,"sqlite заблокирована,ошибка блокировки базы,wal режим sqlite",информационный,"Разбирает конкретную ошибку блокировки через модель конкурентного доступа SQLite и показывает, какие настройки её убирают, а какие только маскируют.",Разбор режимов журналирования + таблица «симптом → настройка» + команды диагностики,"backup-i-vosstanovlenie-sqlite,proizvoditelnost-sqlite-fts5-na-millionah-strok,migratsii-bazy-bezopasno,optimizatsiya-holodnogo-starta,monitoring-i-healthcheck",1200,planned
migratsii-bazy-bezopasno,Миграции базы данных без потери данных,C10 Self-host и ИТ-практика,guide,миграции базы данных,"изменить схему базы безопасно,миграция sqlite,откат миграции",информационный,"Настаивает на правиле, которое спасает продукт с накопленной за годы памятью: миграция должна быть проверена на копии реальной базы, а не на пустой.",Регламент миграции из 6 шагов + чек-лист проверки на копии реальных данных,"backup-i-vosstanovlenie-sqlite,sqlite-wal-i-blokirovki,perenos-instansa-na-drugoy-disk,monitoring-i-healthcheck,samohosting-riski-chestno",1200,planned
monitoring-i-healthcheck,Мониторинг личного сервиса: что действительно стоит проверять,C10 Self-host и ИТ-практика,guide,мониторинг сервиса,"healthcheck приложения,проверка работоспособности сервиса,мониторинг своего сервера",информационный,"Отбирает минимальный набор проверок для сервиса без дежурной смены: важна не полнота метрик, а то, что вы вообще узнаете о сбое.",Список из 7 проверок с порогами + схема оповещения без внешних сервисов,"logi-strukturirovannye-structlog,systemd-i-avtozapusk,dostupnost-i-sboi-provayderov-plan-b,sqlite-wal-i-blokirovki,optimizatsiya-holodnogo-starta",1300,planned
logi-strukturirovannye-structlog,Структурированные логи: чтобы их можно было читать,C10 Self-host и ИТ-практика,guide,структурированные логи,"логирование в приложении,json логи,как настроить логи",информационный,Показывает разницу на конкретном расследовании: как одно и то же происшествие ищется в текстовых логах и в структурированных.,Пример одного инцидента в двух форматах логов + минимальный набор обязательных полей,"monitoring-i-healthcheck,otladka-agenta-logi-i-trassirovka,systemd-i-avtozapusk,sekrety-v-env-i-git-hooks,migratsii-bazy-bezopasno",1200,planned
csp-i-bezopasnost-veb-prilozheniya,Content Security Policy: защита которая ломает вёрстку,C10 Self-host и ИТ-практика,guide,content security policy настройка,"csp заголовок,защита от xss,внешние скрипты запретить",информационный,"Ведёт от режима наблюдения к режиму блокировки — единственный порядок, при котором политику удаётся внедрить и не откатить через день.",Пример политики с разбором директив + порядок внедрения через режим отчётов,"reverse-proxy-nginx-caddy,https-i-sertifikaty-lets-encrypt,chto-takoe-promt-inektsiya,telemetriya-v-ii-prilozheniyah,pwa-i-service-worker-kesh",1400,planned
sekrety-v-env-i-git-hooks,Секреты в проекте: переменные окружения и защита от коммита,C10 Self-host и ИТ-практика,guide,как хранить секреты в проекте,"env файл секреты,не коммитить пароли,git hook проверка секретов",транзакционный,"Ставит защиту до ошибки, а не после: хук, который отказывает в коммите с ключом, дешевле любой последующей ротации.",Готовый pre-commit хук + список шаблонов для поиска секретов,"bezopasnoe-hranenie-api-klyucha,rotatsiya-utekshih-kredov,logi-strukturirovannye-structlog,parol-i-vault-dlya-zametok,samohosting-riski-chestno",1200,planned
rotatsiya-utekshih-kredov,Что делать если ключ утёк: порядок действий,C10 Self-host и ИТ-практика,case,утёк api ключ что делать,"ключ попал в git,ротация секретов,отозвать ключ доступа",информационный,"Разбор реального инцидента с порядком действий по минутам и главным выводом: удаление из репозитория не отменяет утечку, отзыв ключа — отменяет.","Хронология действий при инциденте + чек-лист ротации + список мест, где копия ключа могла остаться","sekrety-v-env-i-git-hooks,bezopasnoe-hranenie-api-klyucha,ugrozy-lokalnogo-ii,samohosting-riski-chestno,udalenie-akkaunta-i-dannyh",1300,planned
fastapi-arhitektura-zametki,Архитектура веб-приложения на FastAPI: что масштабируется а что нет,C10 Self-host и ИТ-практика,explainer,fastapi архитектура,"структура проекта fastapi,fastapi много роутов,организация кода fastapi",информационный,Разбирает конкретные болезни разросшегося приложения — обработчик на тысячу строк и фоновые задачи внутри веб-процесса — на примере реального проекта.,"Схема разделения слоёв + список признаков, что пора выносить фоновые задачи","htmx-i-alpine-bez-nodejs,logi-strukturirovannye-structlog,systemd-i-avtozapusk,optimizatsiya-holodnogo-starta,kak-podnyat-svoy-ii-servis",1500,planned
htmx-i-alpine-bez-nodejs,Интерфейс без сборки: HTMX и Alpine вместо фронтенд-стека,C10 Self-host и ИТ-практика,explainer,htmx что это,"htmx alpine js,веб приложение без node,серверный рендеринг вместо spa",информационный,"Аргументирует отказ от сборки через стоимость обслуживания, и честно называет границу, за которой такой подход перестаёт работать.",Сравнение по 6 критериям + описание границы применимости подхода,"fastapi-arhitektura-zametki,pwa-i-service-worker-kesh,csp-i-bezopasnost-veb-prilozheniya,optimizatsiya-holodnogo-starta,kak-podnyat-svoy-ii-servis",1300,planned
pwa-i-service-worker-kesh,PWA и сервис-воркер: приложение из вкладки,C10 Self-host и ИТ-практика,guide,pwa приложение,"service worker кэш,установить сайт как приложение,офлайн веб приложение",транзакционный,Разбирает главную практическую боль сервис-воркера — пользователь видит старую версию после обновления — и даёт схему версионирования кэша.,Минимальный сервис-воркер + схема версионирования кэша + процедура принудительного обновления,"htmx-i-alpine-bez-nodejs,csp-i-bezopasnost-veb-prilozheniya,optimizatsiya-holodnogo-starta,kak-podnyat-svoy-ii-servis,ustanovka-persona-na-windows-poshagovo",1300,planned
proizvoditelnost-sqlite-fts5-na-millionah-strok,SQLite и FTS5 на миллионах строк: где предел,C10 Self-host и ИТ-практика,explainer,sqlite миллионы строк,"производительность sqlite,fts5 скорость поиска,sqlite вместо postgres",информационный,"Показывает на замерах, что SQLite держит личную нагрузку с большим запасом, и называет конкретный признак, при котором пора переезжать.","Таблица замеров на разных объёмах + список настроек, дающих основной прирост","fts5-polnotekstovyy-poisk-sqlite,sqlite-wal-i-blokirovki,vektornaya-baza-dannyh-obzor,optimizatsiya-holodnogo-starta,skolko-mesta-zanimaet-god-zapisi",1400,planned
optimizatsiya-holodnogo-starta,Холодный старт приложения: как убрать первые секунды ожидания,C10 Self-host и ИТ-практика,guide,оптимизация холодного старта,"приложение долго запускается,первый запрос медленный,ускорить старт сервиса",информационный,Учит различать разовую медленность старта и постоянную медленность запроса — их лечат противоположными способами.,Порядок замера времени старта по этапам + приёмы прогрева и кэширования,"proizvoditelnost-sqlite-fts5-na-millionah-strok,monitoring-i-healthcheck,fastapi-arhitektura-zametki,pwa-i-service-worker-kesh,skolko-vesit-i-tormozit",1300,planned
skolko-mesta-zanimaet-god-zapisi,Сколько места займёт год непрерывной записи,C10 Self-host и ИТ-практика,explainer,сколько места занимает запись экрана,"объём данных за год,хранение скриншотов место,сколько весит история активности",информационный,"Считает годовой объём по уровням хранения и показывает, что без политики устаревания любая система записи упирается в диск за месяцы.","Расчёт по уровням хранения на год + таблица настроек, влияющих на объём","skolko-vesit-i-tormozit,ierarhicheskaya-pamyat-urovni,kak-ii-zabyvaet-strategii-zabyvaniya,vps-dlya-ii-vybor,proizvoditelnost-sqlite-fts5-na-millionah-strok",1200,planned
perenos-instansa-na-drugoy-disk,Перенос своего экземпляра на другой диск или машину,C10 Self-host и ИТ-практика,guide,перенести приложение на другой диск,"переезд на новый компьютер,перенос базы данных,миграция приложения",транзакционный,"Единственная статья, разбирающая перенос как проверяемую процедуру с приёмкой, а не как копирование папки на удачу.",Порядок переноса из 7 шагов + чек-лист приёмки после переезда,"backup-i-vosstanovlenie-sqlite,eksport-i-perenos-pamyati-ii,migratsii-bazy-bezopasno,docker-compose-persona-gayd,rezervnye-kopii-i-privatnost",1100,planned
samohosting-riski-chestno,Риски самостоятельного хостинга о которых не пишут,C10 Self-host и ИТ-практика,explainer,риски self-hosted,"самохостинг проблемы,минусы своего сервера,стоит ли поднимать свой сервис",информационный,"Полностью отрезвляющая статья: перечисляет, что при самостоятельном хостинге вы становитесь единственным дежурным, и называет типовые сроки, за которые энтузиазм заканчивается.","Список из 9 рисков с оценкой вероятности + честный совет, кому самохостинг не стоит начинать","kak-podnyat-svoy-ii-servis,ugrozy-lokalnogo-ii,monitoring-i-healthcheck,rezervnye-kopii-i-privatnost,rotatsiya-utekshih-kredov,domashniy-server-dlya-ii",1600,planned
ustanovka-persona-na-windows-poshagovo,Установка Persona на Windows: пошагово и без установщика,C10 Self-host и ИТ-практика,guide,установить persona на windows,"persona установка,запустить persona локально,persona на компьютер",транзакционный,"Единственная инструкция, которая сразу предупреждает: готового установщика нет, установка идёт через менеджер пакетов и командную строку — и это осознанное текущее состояние.",Пошаговые команды установки + чек-лист проверки после запуска + разбор типовых ошибок первого старта,"kak-nachat-za-5-minut,windows-avtozapusk-servisa,podklyuchit-klyuch-v-persona-poshagovo,docker-compose-persona-gayd,lichnyy-ii-bez-programmirovaniya",1400,planned
svoya-model-fine-tune,Своя модель ИИ: как дообучить нейросеть под себя (LoRA и датасет),C11 Дообучение и своя модель,pillar,своя модель ии,"дообучение нейросети,fine-tune lora,обучить ии под себя",информационный,"Показывает дообучение как способ перенять стиль, а не знания — и на этом строит весь маршрут.",Маршрут из 5 этапов + требования к железу + разбор ожиданий,"kogda-fine-tune-ne-nuzhen,lora-vs-qlora-raznitsa,kak-sobrat-dataset,rag-vs-fine-tune-chto-vybrat,kak-obuchit-vtoruyu-kopiyu,skolko-primerov-nuzhno-dlya-fine-tune",2400,existing
kak-sobrat-dataset,Как собрать датасет для дообучения ИИ из своих оценок,C11 Дообучение и своя модель,guide,датасет для дообучения,"собрать данные для ии,обучающие пары,fine-tune датасет",транзакционный,Показывает оценки ответов в повседневной работе как источник обучающих пар без отдельной разметки.,Схема сбора пар + требования к формату,"razmetka-horoshih-otvetov-lajki,format-datasetov-alpaca-sharegpt-chatml,ochistka-i-deduplikatsiya-dataseta,skolko-primerov-nuzhno-dlya-fine-tune,svoya-model-fine-tune",1500,existing
kak-obuchit-vtoruyu-kopiyu,Как обучить свою модель: «вторая копия» на QLoRA шаг за шагом,C11 Дообучение и своя модель,guide,обучить свою llm,"qlora fine-tune,локальная модель ollama,fine-tune на своих данных",транзакционный,Полный практический маршрут от датасета до запущенной локально дообученной модели.,Пошаговые команды + параметры обучения + проверка результата,"lora-vs-qlora-raznitsa,unsloth-gayd,konvertatsiya-v-gguf-i-zapusk-v-ollama,gipeparametry-fine-tune-lr-epochs-rank,kak-otsenit-doobuchennuyu-model",1900,existing
kogda-fine-tune-ne-nuzhen,Когда дообучение не нужно: сначала прочитайте это,C11 Дообучение и своя модель,explainer,нужно ли дообучать модель,"стоит ли делать fine-tune,дообучение или промпт,когда не нужен fine-tune",информационный,"Открывает кластер отрицанием: перечисляет пять признаков, по которым видно, что задачу закроет промпт или RAG, и дообучение будет потерей недели.",Чек-лист из 5 признаков + таблица «симптом → правильный инструмент»,"rag-vs-fine-tune-chto-vybrat,svoya-model-fine-tune,sistemnyy-promt-dlya-lichnogo-ii,skolko-primerov-nuzhno-dlya-fine-tune,skolko-stoit-arenda-gpu-dlya-fine-tune",1300,planned
lora-vs-qlora-raznitsa,LoRA и QLoRA: в чём разница и что выбрать,C11 Дообучение и своя модель,explainer,lora vs qlora,"разница lora и qlora,что такое qlora,адаптеры для модели",информационный,"Объясняет, что QLoRA — это компромисс памяти против качества и скорости, и называет, при каком объёме видеопамяти он перестаёт быть нужен.","Таблица сравнения по памяти, скорости и качеству + порог перехода на обычную LoRA","svoya-model-fine-tune,peft-biblioteka-obzor,kvantizatsiya-llm-obyasnenie,fine-tune-na-svoem-zheleze-trebovaniya,gipeparametry-fine-tune-lr-epochs-rank",1200,planned
unsloth-gayd,Unsloth: быстрое дообучение на одной видеокарте,C11 Дообучение и своя модель,guide,unsloth,"unsloth обучение,быстрый fine tune,дообучение на одной gpu",транзакционный,"Практический маршрут с акцентом на то, где обычно ломается запуск — версии библиотек и совместимость с конкретной моделью.",Готовый скрипт обучения с комментариями + таблица совместимости + типовые ошибки запуска,"kak-obuchit-vtoruyu-kopiyu,axolotl-gayd,lora-vs-qlora-raznitsa,fine-tune-na-svoem-zheleze-trebovaniya,gipeparametry-fine-tune-lr-epochs-rank",1500,planned
axolotl-gayd,Axolotl: дообучение по конфигурационному файлу,C11 Дообучение и своя модель,guide,axolotl fine tune,"axolotl настройка,конфиг для обучения модели,axolotl yaml",транзакционный,"Показывает подход «обучение как конфигурация» и его главное преимущество — воспроизводимость запуска, который можно повторить через полгода.",Разобранный конфигурационный файл + порядок воспроизведения эксперимента,"unsloth-gayd,peft-biblioteka-obzor,gipeparametry-fine-tune-lr-epochs-rank,format-datasetov-alpaca-sharegpt-chatml,kak-otsenit-doobuchennuyu-model",1300,planned
peft-biblioteka-obzor,PEFT: как устроены адаптеры под капотом,C11 Дообучение и своя модель,explainer,peft библиотека,"адаптеры модели peft,параметрически эффективное дообучение,что такое адаптер llm",информационный,"Объясняет механику адаптеров и одно практическое следствие, которое обычно упускают: адаптеры можно хранить и переключать отдельно от базовой модели.",Схема адаптера + разбор сценария нескольких адаптеров на одной базе,"lora-vs-qlora-raznitsa,sliyanie-lora-v-model-merge,chto-takoe-parametry-modeli,unsloth-gayd,axolotl-gayd",1200,planned
skolko-primerov-nuzhno-dlya-fine-tune,Сколько примеров нужно для дообучения,C11 Дообучение и своя модель,explainer,сколько данных нужно для fine tune,"количество примеров для обучения,минимальный датасет для llm,сколько нужно данных нейросети",информационный,"Даёт разные пороги для разных целей (стиль, формат, знания) и утверждает, что для стиля хватает сотен примеров, а для знаний не хватит и десятков тысяч.",Таблица «цель дообучения → порядок числа примеров → ожидаемый результат»,"kak-sobrat-dataset,kogda-fine-tune-ne-nuzhen,ochistka-i-deduplikatsiya-dataseta,razmetka-horoshih-otvetov-lajki,rag-vs-fine-tune-chto-vybrat",1200,planned
format-datasetov-alpaca-sharegpt-chatml,Форматы обучающих данных: Alpaca ShareGPT ChatML,C11 Дообучение и своя модель,explainer,формат датасета для обучения,"alpaca формат,sharegpt формат,chatml разметка",информационный,"Связывает формат датасета с шаблоном чата модели и показывает, что несовпадение этих двух вещей — самая частая причина странного поведения после обучения.",Примеры одного диалога в трёх форматах + правило соответствия шаблону чата,"kak-sobrat-dataset,gguf-format-obyasnenie,axolotl-gayd,ochistka-i-deduplikatsiya-dataseta,kak-zapustit-nous-hermes-lokalno",1200,planned
ochistka-i-deduplikatsiya-dataseta,Очистка датасета: почему грязные данные хуже малых,C11 Дообучение и своя модель,guide,очистка датасета,"дедупликация данных обучения,подготовка данных для fine tune,качество датасета",информационный,"Утверждает и показывает на примере, что сотня чистых примеров даёт лучший результат, чем тысяча с противоречиями и дублями.",Процедура очистки из 6 шагов + список признаков вредных примеров,"kak-sobrat-dataset,skolko-primerov-nuzhno-dlya-fine-tune,razmetka-horoshih-otvetov-lajki,overfitting-priznaki-i-lechenie,format-datasetov-alpaca-sharegpt-chatml",1300,planned
razmetka-horoshih-otvetov-lajki,Разметка хороших ответов: как оценки превращаются в данные,C11 Дообучение и своя модель,guide,разметка данных для обучения,"как отмечать хорошие ответы ии,сбор обратной связи llm,оценки ответов нейросети",информационный,"Даёт конкретный критерий оценки вместо интуитивного «нравится»: отмечать стоит не правильные ответы, а те, что звучат как ваши.","Инструкция по критериям оценки + форма записи + правило, что делать с плохими ответами","kak-sobrat-dataset,ochistka-i-deduplikatsiya-dataseta,dpo-i-orpo-prostymi-slovami,personalnyy-ii-dlya-pisatelya,skolko-primerov-nuzhno-dlya-fine-tune",1100,planned
gipeparametry-fine-tune-lr-epochs-rank,Гиперпараметры дообучения: скорость эпохи и ранг,C11 Дообучение и своя модель,guide,гиперпараметры fine tune,"learning rate для дообучения,сколько эпох обучать,ранг lora",информационный,"Даёт рабочие стартовые значения и — что важнее — правило, какой параметр менять первым, когда результат плохой.",Таблица параметров со стартовыми значениями + порядок настройки при плохом результате,"unsloth-gayd,overfitting-priznaki-i-lechenie,kak-otsenit-doobuchennuyu-model,lora-vs-qlora-raznitsa,axolotl-gayd",1300,planned
overfitting-priznaki-i-lechenie,Модель переобучилась: как это заметить и что делать,C11 Дообучение и своя модель,troubleshooting,переобучение модели,"overfitting признаки,модель повторяет датасет,модель стала хуже после обучения",информационный,"Описывает переобучение через симптомы, которые видно без метрик: модель начинает дословно воспроизводить примеры и терять способность к обычному разговору.","Список наблюдаемых симптомов + таблица «симптом → параметр, который надо менять»","gipeparametry-fine-tune-lr-epochs-rank,kak-otsenit-doobuchennuyu-model,ochistka-i-deduplikatsiya-dataseta,skolko-primerov-nuzhno-dlya-fine-tune,kogda-fine-tune-ne-nuzhen",1200,planned
kak-otsenit-doobuchennuyu-model,Как оценить дообученную модель честно,C11 Дообучение и своя модель,guide,оценка дообученной модели,"как проверить fine tune,сравнить модель до и после,тест дообученной модели",транзакционный,"Настаивает на слепом сравнении с базовой моделью, потому что автор дообучения систематически переоценивает результат своей работы.",Протокол слепого сравнения + форма оценки + список задач для контроля деградации,"kak-testirovat-model-na-svoih-zadachah,overfitting-priznaki-i-lechenie,gipeparametry-fine-tune-lr-epochs-rank,kak-obnovlyat-lokalnye-modeli,sliyanie-lora-v-model-merge",1300,planned
sliyanie-lora-v-model-merge,Слияние адаптера с моделью: когда это нужно,C11 Дообучение и своя модель,guide,слияние lora с моделью,"merge lora,объединить адаптер и модель,экспорт дообученной модели",транзакционный,"Объясняет, зачем сливать адаптер (для запуска в инструментах, которые адаптеры не понимают) и что при этом теряется — возможность переключать адаптеры.",Команды слияния + таблица «когда сливать и когда нет»,"peft-biblioteka-obzor,konvertatsiya-v-gguf-i-zapusk-v-ollama,kak-otsenit-doobuchennuyu-model,lora-vs-qlora-raznitsa,kak-obuchit-vtoruyu-kopiyu",1000,planned
konvertatsiya-v-gguf-i-zapusk-v-ollama,Конвертация дообученной модели в GGUF и запуск локально,C11 Дообучение и своя модель,guide,конвертировать модель в gguf,"запустить свою модель в ollama,convert to gguf,своя модель локально",транзакционный,"Закрывает последний разрыв маршрута: от папки с весами после обучения до модели, которая отвечает в вашем ассистенте.",Команды конвертации и квантизации + Modelfile для запуска + проверка результата,"sliyanie-lora-v-model-merge,gguf-format-obyasnenie,ollama-modelfile-gayd,kak-obuchit-vtoruyu-kopiyu,kvantizatsiya-llm-obyasnenie",1300,planned
dpo-i-orpo-prostymi-slovami,DPO и ORPO простыми словами: обучение на предпочтениях,C11 Дообучение и своя модель,explainer,dpo обучение,"orpo метод,обучение на предпочтениях,rlhf простыми словами",информационный,"Объясняет, почему обучение на парах «этот ответ лучше того» подходит для персонализации лучше обычного дообучения — и что для него нужны отвергнутые ответы, которые обычно не сохраняют.",Схема пары предпочтений + требования к данным + сравнение с обычным дообучением,"razmetka-horoshih-otvetov-lajki,chto-takoe-obuchenie-s-podkrepleniem-rlhf,kak-sobrat-dataset,svoya-model-fine-tune,skolko-primerov-nuzhno-dlya-fine-tune",1200,planned
fine-tune-na-svoem-zheleze-trebovaniya,Дообучение на своём железе: что реально нужно,C11 Дообучение и своя модель,explainer,железо для дообучения модели,"сколько vram для fine tune,можно ли дообучить на 8гб,требования для обучения llm",информационный,"Даёт таблицу требований к видеопамяти для разных размеров моделей и методов и честно говорит, начиная с какого размера домашнее обучение теряет смысл.",Таблица требований VRAM по размерам моделей и методам + порог перехода на аренду,"lora-vs-qlora-raznitsa,skolko-stoit-arenda-gpu-dlya-fine-tune,unsloth-gayd,skolko-nuzhno-vram-dlya-llm,vybor-videokarty-dlya-llm-2026",1200,planned
skolko-stoit-arenda-gpu-dlya-fine-tune,Аренда видеокарты для дообучения: сколько это стоит,C11 Дообучение и своя модель,explainer,аренда gpu для обучения,"сколько стоит обучить модель,аренда видеокарты в час,облачное обучение llm",коммерческий,"Считает стоимость одного полного цикла обучения с учётом неизбежных неудачных попыток — числа, которое обычно не закладывают.",Расчёт стоимости цикла с поправкой на неудачные запуски (тарифы помечены как требующие проверки),"fine-tune-na-svoem-zheleze-trebovaniya,skolko-stoit-lichnyy-ii,kogda-fine-tune-ne-nuzhen,unsloth-gayd,energopotreblenie-llm-i-schet-za-svet",1100,planned
glossariy-ii-terminov,Глоссарий терминов ИИ: 37 понятий человеческим языком,C12 Справочник терминов,pillar,глоссарий ии,"термины нейросетей,словарь ии,расшифровка терминов искусственного интеллекта",информационный,"Хаб-страница, где термины сгруппированы не по алфавиту, а по ситуации, в которой читатель на них натыкается — при выборе модели, при запуске, при настройке памяти.",Сгруппированный по ситуациям указатель на все 37 статей + сквозная таблица терминов,"chto-takoe-token,chto-takoe-kontekstnoe-okno,chto-takoe-vram,chto-takoe-galyutsinatsiya-ii,chto-takoe-inference,chto-takoe-parametry-modeli,kakuyu-model-vybrat",2000,planned
chto-takoe-token,Что такое токен,C12 Справочник терминов,glossary,что такое токен,"токены нейросети,токен это,сколько символов в токене",информационный,"Исправляет главное заблуждение: токен — не слово и не символ, и для русского текста их уходит заметно больше, чем для английского.",Пример разбиения одной фразы на токены на русском и английском,"chto-takoe-tokenizatsiya,kak-schitat-stoimost-tokenov,chto-takoe-kontekstnoe-okno,ii-assistent-na-russkom-yazyke,glossariy-ii-terminov",500,planned
chto-takoe-tokenizatsiya,Что такое токенизация,C12 Справочник терминов,glossary,что такое токенизация,"токенизатор нейросети,как модель делит текст,bpe токенизация",информационный,"Показывает, что разные модели режут один и тот же текст по-разному, из-за чего одинаковый запрос стоит по-разному у разных провайдеров.",Сравнение разбиения одной фразы тремя токенизаторами,"chto-takoe-token,model-dlya-russkogo-yazyka-kak-vybrat,kak-schitat-stoimost-tokenov,ii-assistent-na-russkom-yazyke,glossariy-ii-terminov",500,planned
